(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Ordered Product Sales,Total Order Items,Unit Session Percentage
B0TH001PR,B0TH001KX,Cast Iron Skillet 10in,"2,999","4,798",99.0%,424,"US$14,835.76",407,14.14%
B0TH001PR,B0TH002KX,Cast Iron Skillet 12in,"2,789","4,462",98.3%,288,"US$12,957.12",276,10.33%
B0TH001PR,B0TH003KX,Enamel Dutch Oven 5qt,"2,436","3,898",93.5%,292,"US$23,357.08",280,11.99%
B0TH001PR,B0TH004KX,Carbon Steel Wok,"2,095","3,352",94.2%,259,"US$12,947.41",249,12.37%
B0TH002PR,B0TH005KX,Bamboo Cutting Board L,"3,669","5,870",92.8%,430,"US$12,035.70",413,11.72%
B0TH002PR,B0TH006KX,Bamboo Cutting Board M,"7,054","11,286",89.4%,614,"US$12,273.86",589,8.70%
B0TH002PR,B0TH007KX,Walnut Serving Tray,960,"1,536",93.2%,123,"US$4,795.77",118,12.81%
B0TH002PR,B0TH008KX,Chef Knife 8in,"4,220","6,752",94.0%,435,"US$26,095.65",418,10.31%
B0TH003PR,B0TH009KX,Paring Knife 3.5in,"3,568","5,709",94.5%,467,"US$8,868.33",448,13.09%
B0TH003PR,B0TH010KX,Bread Knife 10in,"2,493","3,989",97.7%,254,"US$7,617.46",244,10.19%
B0TH003PR,B0TH011KX,Knife Sharpener Whetstone,"2,579","4,126",95.5%,378,"US$9,446.22",363,14.66%
B0TH003PR,B0TH012KX,Stainless Mixing Bowls 5pc,"2,082","3,331",97.7%,280,"US$10,357.20",269,13.45%
B0TH004PR,B0TH013KX,Silicone Spatula Set,"6,155","9,848",95.8%,847,"US$12,696.53",813,13.76%
B0TH004PR,B0TH014KX,Measuring Cups Steel,"3,395","5,432",95.6%,431,"US$9,477.69",414,12.70%
B0TH004PR,B0TH015KX,Salt Cellar Acacia,"3,116","4,986",96.1%,290,"US$4,927.10",278,9.31%
B0TH004PR,B0TH016KX,Pepper Mill Walnut,"2,435","3,896",91.6%,214,"US$7,059.86",205,8.79%
B0TH005PR,B0TH017KX,French Press 34oz,"2,779","4,446",96.5%,392,"US$11,756.08",376,14.11%
B0TH005PR,B0TH018KX,Pour Over Kettle Gooseneck,"1,617","2,587",93.2%,234,"US$10,059.66",225,14.47%
B0TH005PR,B0TH019KX,Coffee Canister Airtight,"3,436","5,498",93.3%,316,"US$7,264.84",303,9.20%
B0TH005PR,B0TH020KX,Tea Infuser Mug,"2,734","4,374",94.2%,320,"US$5,756.80",307,11.70%
B0TH006PR,B0TH021KX,Apron Waxed Canvas,"1,133","1,813",92.9%,156,"US$6,238.44",150,13.77%
B0TH006PR,B0TH022KX,Oven Mitts Aramid Pair,"3,163","5,061",91.0%,386,"US$7,716.14",371,12.20%
B0TH006PR,B0TH023KX,Trivet Cork Set,"4,298","6,877",94.0%,533,"US$6,923.67",512,12.40%
B0TH006PR,B0TH024KX,Kitchen Towels Linen 4pk,"3,390","5,424",93.3%,339,"US$8,471.61",325,10.00%
