sku,fnsku,asin,condition,afn-fulfillable-quantity,afn-inbound-working-quantity,afn-inbound-shipped-quantity,afn-inbound-receiving-quantity,afn-reserved-quantity
TH-CASIRO-01,X0TH0001,B0TH001KX,NewItem,613,0,814,0,42
TH-CASIRO-02,X0TH0002,B0TH002KX,NewItem,449,0,595,0,30
TH-ENADUT-03,X0TH0003,B0TH003KX,NewItem,270,0,0,0,18
TH-CARSTE-04,X0TH0004,B0TH004KX,NewItem,899,0,0,0,18
TH-BAMCUT-05,X0TH0005,B0TH005KX,NewItem,1600,0,574,0,41
TH-BAMCUT-06,X0TH0006,B0TH006KX,NewItem,938,0,730,0,52
TH-WALSER-07,X0TH0007,B0TH007KX,NewItem,247,0,0,0,13
TH-CHEKNI-08,X0TH0008,B0TH008KX,NewItem,490,0,533,0,33
TH-PARKNI-09,X0TH0009,B0TH009KX,NewItem,3323,0,0,0,44
TH-BREKNI-10,X0TH0010,B0TH010KX,NewItem,374,0,327,0,20
TH-KNISHA-11,X0TH0011,B0TH011KX,NewItem,446,0,304,0,24
TH-STAMIX-12,X0TH0012,B0TH012KX,NewItem,214,0,0,0,19
TH-SILSPA-13,X0TH0013,B0TH013KX,NewItem,1499,0,594,0,56
TH-MEACUP-14,X0TH0014,B0TH014KX,NewItem,1413,0,0,0,29
TH-SALCEL-15,X0TH0015,B0TH015KX,NewItem,917,0,0,0,23
TH-PEPMIL-16,X0TH0016,B0TH016KX,NewItem,895,0,239,0,15
TH-FREPRE-17,X0TH0017,B0TH017KX,NewItem,899,0,0,0,28
TH-POUOVE-18,X0TH0018,B0TH018KX,NewItem,170,0,243,0,15
TH-COFCAN-19,X0TH0019,B0TH019KX,NewItem,356,0,0,0,32
TH-TEAINF-20,X0TH0020,B0TH020KX,NewItem,943,0,296,0,24
TH-APRWAX-21,X0TH0021,B0TH021KX,NewItem,178,0,0,0,12
TH-OVEMIT-22,X0TH0022,B0TH022KX,NewItem,1486,0,0,0,30
TH-TRICOR-23,X0TH0023,B0TH023KX,NewItem,3474,0,0,0,46
TH-KITTOW-24,X0TH0024,B0TH024KX,NewItem,625,0,289,0,23
