approval-date,reimbursement-id,case-id,amazon-order-id,reason,sku,fnsku,asin,product-name,condition,currency-unit,amount-per-unit,amount-total,quantity-reimbursed-cash,quantity-reimbursed-inventory,quantity-reimbursed-total,original-reimbursement-id,original-reimbursement-type
2026-07-27,RM-77023,,,Lost_Warehouse,TH-CASIRO-02,X0TH0002,B0TH002KX,Cast Iron Skillet 12in,New,USD,16.10,32.20,2,0,2,,
2026-08-08,RM-77045,,,Lost_Warehouse,TH-CARSTE-04,X0TH0004,B0TH004KX,Carbon Steel Wok,New,USD,16.10,32.20,2,0,2,,
2026-06-30,RM-77064,,,Damaged_Warehouse,TH-BAMCUT-06,X0TH0006,B0TH006KX,Bamboo Cutting Board M,New,USD,5.50,0.00,0,3,3,,
2026-06-14,RM-77074,,,Damaged_Warehouse,TH-WALSER-07,X0TH0007,B0TH007KX,Walnut Serving Tray,New,USD,13.10,26.20,2,0,2,,
2026-06-24,RM-77084,,,Lost_Warehouse,TH-CHEKNI-08,X0TH0008,B0TH008KX,Chef Knife 8in,New,USD,16.60,49.80,3,0,3,,
2026-07-05,RM-77095,,,Lost_Warehouse,TH-PARKNI-09,X0TH0009,B0TH009KX,Paring Knife 3.5in,New,USD,4.80,14.40,3,0,3,,
2026-07-15,RM-77122,,,Lost_Warehouse,TH-KNISHA-11,X0TH0011,B0TH011KX,Knife Sharpener Whetstone,New,USD,6.50,6.50,1,0,1,,
2026-08-11,RM-77144,,,Lost_Warehouse,TH-SILSPA-13,X0TH0013,B0TH013KX,Silicone Spatula Set,New,USD,3.30,0.00,0,3,3,,
2026-08-23,RM-77167,,,Damaged_Warehouse,TH-SALCEL-15,X0TH0015,B0TH015KX,Salt Cellar Acacia,New,USD,4.10,8.20,2,0,2,,
2026-07-26,RM-77186,,,Damaged_Warehouse,TH-FREPRE-17,X0TH0017,B0TH017KX,French Press 34oz,New,USD,9.00,27.00,3,0,3,,
2026-06-30,RM-77250,,,Damaged_Warehouse,TH-TRICOR-23,X0TH0023,B0TH023KX,Trivet Cork Set,New,USD,2.60,7.80,3,0,3,,
2026-08-20,RM-77264,,,Reversal,TH-CARSTE-04,X0TH0004,B0TH004KX,Carbon Steel Wok,New,USD,-16.10,-32.20,2,0,2,RM-70011,Reversal
