return-date,order-id,sku,asin,fnsku,product-name,quantity,fulfillment-center-id,detailed-disposition,reason,status,license-plate-number,customer-comments
2026-07-15T10:32:00+00:00,111-4000080-4517037,TH-CASIRO-01,B0TH001KX,X0TH0001,Cast Iron Skillet 10in,1,LAX9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,LPNRR000077003,
2026-07-06T02:55:00+00:00,111-4000172-1485759,TH-CASIRO-01,B0TH001KX,X0TH0001,Cast Iron Skillet 10in,1,DFW6,CARRIER_DAMAGED,UNWANTED_ITEM,Unit not returned to inventory,LPNRR000077004,
2026-05-25T09:00:00+00:00,111-4000215-7071290,TH-CASIRO-01,B0TH001KX,X0TH0001,Cast Iron Skillet 10in,1,ONT8,DAMAGED,ORDERED_WRONG_ITEM,Unit not returned to inventory,LPNRR000077005,
2026-05-30T06:33:00+00:00,111-4000290-1596218,TH-CASIRO-01,B0TH001KX,X0TH0001,Cast Iron Skillet 10in,1,MDW2,DEFECTIVE,UNWANTED_ITEM,Unit not returned to inventory,LPNRR000077006,
2026-07-01T15:58:00+00:00,111-4000339-4867996,TH-CASIRO-01,B0TH001KX,X0TH0001,Cast Iron Skillet 10in,1,LAX9,CUSTOMER_DAMAGED,DEFECTIVE,Unit not returned to inventory,LPNRR000077007,
2026-05-29T04:41:00+00:00,111-4000397-3921245,TH-CASIRO-01,B0TH001KX,X0TH0001,Cast Iron Skillet 10in,1,PHX7,SELLABLE,DEFECTIVE,Unit returned to inventory,LPNRR000077008,
2026-05-31T12:44:00+00:00,111-4000484-5296207,TH-CASIRO-01,B0TH001KX,X0TH0001,Cast Iron Skillet 10in,1,MDW2,DAMAGED,UNWANTED_ITEM,Unit not returned to inventory,LPNRR000077009,
2026-07-24T17:24:00+00:00,111-4000777-9624660,TH-CASIRO-02,B0TH002KX,X0TH0002,Cast Iron Skillet 12in,1,MDW2,DAMAGED,DEFECTIVE,Unit not returned to inventory,LPNRR000077015,
2026-08-06T07:01:00+00:00,111-4000797-3657211,TH-CASIRO-02,B0TH002KX,X0TH0002,Cast Iron Skillet 12in,1,PHX7,CUSTOMER_DAMAGED,UNWANTED_ITEM,Unit not returned to inventory,LPNRR000077016,
2026-06-07T18:57:00+00:00,111-4000847-9493234,TH-CASIRO-02,B0TH002KX,X0TH0002,Cast Iron Skillet 12in,1,PHX7,CUSTOMER_DAMAGED,ORDERED_WRONG_ITEM,Reimbursed,LPNRR000077017,
