snapshot-date,sku,fnsku,asin,product-name,condition,available,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,sell-through,days-of-supply,estimated-excess-quantity,item-volume,storage-volume,estimated-storage-cost-next-month,estimated-ais-181-210-days,estimated-ais-211-240-days,estimated-ais-241-270-days,estimated-ais-271-300-days,estimated-ais-301-330-days,estimated-ais-331-365-days,estimated-ais-365-plus-days,recommended-action,low-inventory-level-fee-applied,your-price,sales-price,currency,healthy-inventory-level,storage-type,weeks-of-cover-t30
2026-08-31,TH-CASIRO-01,X0TH0001,B0TH001KX,Cast Iron Skillet 10in,New,613,0,613,0,0,0,0,148,634,1269,1903,0.99,29,0,0.410,251.33,196.04,0,0,0,0,0,0,0,No action required,No,36.04,36.04,USD,951,Oversize,4.1
2026-08-31,TH-CASIRO-02,X0TH0002,B0TH002KX,Cast Iron Skillet 12in,New,449,0,449,0,0,0,0,108,464,928,1392,0.99,29,0,0.550,246.95,192.62,0,0,0,0,0,0,0,No action required,No,46.34,46.34,USD,696,Oversize,4.1
2026-08-31,TH-ENADUT-03,X0TH0003,B0TH003KX,Enamel Dutch Oven 5qt,New,270,0,270,0,0,0,0,65,279,558,837,0.99,29,0,0.920,248.40,193.75,0,0,0,0,0,0,0,No action required,No,77.59,77.59,USD,418,Oversize,4.1
2026-08-31,TH-CARSTE-04,X0TH0004,B0TH004KX,Carbon Steel Wok,New,899,0,585,314,0,0,0,65,281,562,843,0.31,96,56,0.620,557.38,434.76,0,0,0,0,0,0,0,Consider removal,No,51.49,51.49,USD,421,Oversize,13.7
2026-08-31,TH-BAMCUT-05,X0TH0005,B0TH005KX,Bamboo Cutting Board L,New,1600,0,1040,560,0,0,0,143,615,1230,1845,0.38,78,0,0.280,448.00,349.44,0,0,0,0,0,0,0,Consider removal,No,27.15,27.15,USD,922,Standard-Size,11.1
2026-08-31,TH-BAMCUT-06,X0TH0006,B0TH006KX,Bamboo Cutting Board M,New,938,0,938,0,0,0,0,182,781,1563,2345,0.83,36,0,0.180,168.84,131.70,0,0,0,0,0,0,0,No action required,No,19.39,19.39,USD,1172,Standard-Size,5.1
2026-08-31,TH-WALSER-07,X0TH0007,B0TH007KX,Walnut Serving Tray,New,247,0,247,0,0,0,0,48,205,411,617,0.83,36,0,0.300,74.10,57.80,0,0,0,0,0,0,0,No action required,No,37.82,37.82,USD,308,Standard-Size,5.1
2026-08-31,TH-CHEKNI-08,X0TH0008,B0TH008KX,Chef Knife 8in,New,490,0,490,0,0,0,0,118,507,1014,1522,0.99,29,0,0.090,44.10,34.40,0,0,0,0,0,0,0,No action required,No,58.19,58.19,USD,761,Standard-Size,4.1
2026-08-31,TH-PARKNI-09,X0TH0009,B0TH009KX,Paring Knife 3.5in,New,3323,0,2160,1163,0,0,0,155,664,1329,1993,0.20,150,1330,0.040,132.92,103.68,0,0,0,0,0,0,0,Consider removal,No,18.42,18.42,USD,996,Standard-Size,21.4
2026-08-31,TH-BREKNI-10,X0TH0010,B0TH010KX,Bread Knife 10in,New,374,0,374,0,0,0,0,72,311,623,935,0.83,36,0,0.070,26.18,20.42,0,0,0,0,0,0,0,No action required,No,29.09,29.09,USD,467,Standard-Size,5.1
