Date,FNSKU,ASIN,MSKU,Title,Event Type,Reference ID,Quantity,Fulfillment Center,Disposition,Reason,Country,Reconciled Quantity,Unreconciled Quantity,Date and Time
4/10/2026,X0TH0001,B0TH001KX,TH-CASIRO-01,Cast Iron Skillet 10in,Receipts,FBA15TH77000,930,PHX7,SELLABLE,,US,0,0,4/10/2026 10:14:02 AM
5/10/2026,X0TH0001,B0TH001KX,TH-CASIRO-01,Cast Iron Skillet 10in,Receipts,FBA15TH77001,930,MDW2,SELLABLE,,US,0,0,5/10/2026 10:14:02 AM
5/18/2026,X0TH0001,B0TH001KX,TH-CASIRO-01,Cast Iron Skillet 10in,Adjustments,ADJ-77002,-3,PHX7,SELLABLE,N,US,0,3,5/18/2026 1:02:44 PM
3/23/2026,X0TH0002,B0TH002KX,TH-CASIRO-02,Cast Iron Skillet 12in,Receipts,FBA15TH77010,615,LAX9,SELLABLE,,US,0,0,3/23/2026 10:14:02 AM
8/8/2026,X0TH0002,B0TH002KX,TH-CASIRO-02,Cast Iron Skillet 12in,Receipts,FBA15TH77011,615,DFW6,SELLABLE,,US,0,0,8/8/2026 10:14:02 AM
8/16/2026,X0TH0002,B0TH002KX,TH-CASIRO-02,Cast Iron Skillet 12in,Adjustments,ADJ-77012,-11,DFW6,DAMAGED,D,US,0,11,8/16/2026 1:02:44 PM
7/12/2026,X0TH0002,B0TH002KX,TH-CASIRO-02,Cast Iron Skillet 12in,Adjustments,ADJ-77013,-13,DFW6,SELLABLE,6,US,13,,7/12/2026 1:02:44 PM
8/15/2026,X0TH0002,B0TH002KX,TH-CASIRO-02,Cast Iron Skillet 12in,Adjustments,ADJ-77014,-1,LAX9,CUSTOMER_DAMAGED,E,US,1,0,8/15/2026 3:00:00 PM
6/27/2026,X0TH0003,B0TH003KX,TH-ENADUT-03,Enamel Dutch Oven 5qt,Receipts,FBA15TH77024,390,DFW6,SELLABLE,,US,0,0,6/27/2026 10:14:02 AM
3/27/2026,X0TH0003,B0TH003KX,TH-ENADUT-03,Enamel Dutch Oven 5qt,Receipts,FBA15TH77025,390,LAX9,SELLABLE,,US,0,0,3/27/2026 10:14:02 AM
7/27/2026,X0TH0003,B0TH003KX,TH-ENADUT-03,Enamel Dutch Oven 5qt,Adjustments,ADJ-77026,-8,MDW2,SELLABLE,M,US,8,,7/27/2026 1:02:44 PM
8/20/2026,X0TH0003,B0TH003KX,TH-ENADUT-03,Enamel Dutch Oven 5qt,Adjustments,ADJ-77027,-10,LAX9,DAMAGED,Q,US,10,,8/20/2026 1:02:44 PM
7/10/2026,X0TH0003,B0TH003KX,TH-ENADUT-03,Enamel Dutch Oven 5qt,Adjustments,ADJ-77028,-8,LAX9,DAMAGED,H,US,8,,7/10/2026 1:02:44 PM
5/15/2026,X0TH0003,B0TH003KX,TH-ENADUT-03,Enamel Dutch Oven 5qt,Adjustments,ADJ-77029,-4,MDW2,SELLABLE,N,US,4,,5/15/2026 1:02:44 PM
5/4/2026,X0TH0004,B0TH004KX,TH-CARSTE-04,Carbon Steel Wok,Receipts,FBA15TH77034,450,LAX9,SELLABLE,,US,0,0,5/4/2026 10:14:02 AM
5/21/2026,X0TH0004,B0TH004KX,TH-CARSTE-04,Carbon Steel Wok,Receipts,FBA15TH77035,450,LAX9,SELLABLE,,US,0,0,5/21/2026 10:14:02 AM
7/27/2026,X0TH0004,B0TH004KX,TH-CARSTE-04,Carbon Steel Wok,Adjustments,ADJ-77036,-18,LAX9,SELLABLE,M,US,0,18,7/27/2026 1:02:44 PM
8/9/2026,X0TH0004,B0TH004KX,TH-CARSTE-04,Carbon Steel Wok,Adjustments,ADJ-77037,-2,MDW2,DAMAGED,D,US,0,2,8/9/2026 1:02:44 PM
7/8/2026,X0TH0004,B0TH004KX,TH-CARSTE-04,Carbon Steel Wok,Adjustments,ADJ-77038,-7,DFW6,SELLABLE,6,US,0,7,7/8/2026 1:02:44 PM
6/20/2026,X0TH0004,B0TH004KX,TH-CARSTE-04,Carbon Steel Wok,Adjustments,ADJ-77039,-4,LAX9,SELLABLE,N,US,0,4,6/20/2026 1:02:44 PM
8/5/2026,X0TH0004,B0TH004KX,TH-CARSTE-04,Carbon Steel Wok,Adjustments,ADJ-77040,-1,MDW2,CUSTOMER_DAMAGED,E,US,1,0,8/5/2026 3:00:00 PM
4/19/2026,X0TH0005,B0TH005KX,TH-BAMCUT-05,Bamboo Cutting Board L,Receipts,FBA15TH77046,810,MDW2,SELLABLE,,US,0,0,4/19/2026 10:14:02 AM
2/24/2026,X0TH0005,B0TH005KX,TH-BAMCUT-05,Bamboo Cutting Board L,Receipts,FBA15TH77047,810,DFW6,SELLABLE,,US,0,0,2/24/2026 10:14:02 AM
8/13/2026,X0TH0005,B0TH005KX,TH-BAMCUT-05,Bamboo Cutting Board L,Adjustments,ADJ-77048,-11,DFW6,DAMAGED,D,US,11,,8/13/2026 1:02:44 PM
7/10/2026,X0TH0005,B0TH005KX,TH-BAMCUT-05,Bamboo Cutting Board L,Adjustments,ADJ-77049,-6,MDW2,DAMAGED,H,US,6,,7/10/2026 1:02:44 PM
5/20/2026,X0TH0005,B0TH005KX,TH-BAMCUT-05,Bamboo Cutting Board L,Adjustments,ADJ-77050,-2,DFW6,SELLABLE,N,US,2,,5/20/2026 1:02:44 PM
7/14/2026,X0TH0006,B0TH006KX,TH-BAMCUT-06,Bamboo Cutting Board M,Receipts,FBA15TH77054,1080,PHX7,SELLABLE,,US,0,0,7/14/2026 10:14:02 AM
3/11/2026,X0TH0006,B0TH006KX,TH-BAMCUT-06,Bamboo Cutting Board M,Receipts,FBA15TH77055,1080,LAX9,SELLABLE,,US,0,0,3/11/2026 10:14:02 AM
7/18/2026,X0TH0006,B0TH006KX,TH-BAMCUT-06,Bamboo Cutting Board M,Adjustments,ADJ-77056,-15,ONT8,SELLABLE,M,US,0,15,7/18/2026 1:02:44 PM
8/5/2026,X0TH0006,B0TH006KX,TH-BAMCUT-06,Bamboo Cutting Board M,Adjustments,ADJ-77057,-4,MDW2,DAMAGED,D,US,0,4,8/5/2026 1:02:44 PM
5/25/2026,X0TH0006,B0TH006KX,TH-BAMCUT-06,Bamboo Cutting Board M,Adjustments,ADJ-77058,-7,PHX7,SELLABLE,N,US,0,7,5/25/2026 1:02:44 PM
6/3/2026,X0TH0007,B0TH007KX,TH-WALSER-07,Walnut Serving Tray,Receipts,FBA15TH77065,285,LAX9,SELLABLE,,US,0,0,6/3/2026 10:14:02 AM
4/27/2026,X0TH0007,B0TH007KX,TH-WALSER-07,Walnut Serving Tray,Receipts,FBA15TH77066,285,PHX7,SELLABLE,,US,0,0,4/27/2026 10:14:02 AM
7/23/2026,X0TH0007,B0TH007KX,TH-WALSER-07,Walnut Serving Tray,Adjustments,ADJ-77067,-7,PHX7,SELLABLE,M,US,0,7,7/23/2026 1:02:44 PM
8/15/2026,X0TH0007,B0TH007KX,TH-WALSER-07,Walnut Serving Tray,Adjustments,ADJ-77068,-7,ONT8,DAMAGED,D,US,0,7,8/15/2026 1:02:44 PM
7/5/2026,X0TH0007,B0TH007KX,TH-WALSER-07,Walnut Serving Tray,Adjustments,ADJ-77069,-9,ONT8,DAMAGED,K,US,9,,7/5/2026 1:02:44 PM
6/9/2026,X0TH0007,B0TH007KX,TH-WALSER-07,Walnut Serving Tray,Adjustments,ADJ-77070,-6,MDW2,SELLABLE,N,US,6,,6/9/2026 1:02:44 PM
5/23/2026,X0TH0008,B0TH008KX,TH-CHEKNI-08,Chef Knife 8in,Receipts,FBA15TH77075,675,ONT8,SELLABLE,,US,0,0,5/23/2026 10:14:02 AM
7/11/2026,X0TH0008,B0TH008KX,TH-CHEKNI-08,Chef Knife 8in,Receipts,FBA15TH77076,675,LAX9,SELLABLE,,US,0,0,7/11/2026 10:14:02 AM
7/14/2026,X0TH0008,B0TH008KX,TH-CHEKNI-08,Chef Knife 8in,Adjustments,ADJ-77077,-7,ONT8,SELLABLE,M,US,0,7,7/14/2026 1:02:44 PM
8/11/2026,X0TH0008,B0TH008KX,TH-CHEKNI-08,Chef Knife 8in,Adjustments,ADJ-77078,-7,PHX7,DAMAGED,Q,US,7,,8/11/2026 1:02:44 PM
7/5/2026,X0TH0008,B0TH008KX,TH-CHEKNI-08,Chef Knife 8in,Adjustments,ADJ-77079,-6,DFW6,DAMAGED,H,US,6,,7/5/2026 1:02:44 PM
6/1/2026,X0TH0008,B0TH008KX,TH-CHEKNI-08,Chef Knife 8in,Adjustments,ADJ-77080,-4,LAX9,SELLABLE,N,US,0,4,6/1/2026 1:02:44 PM
7/21/2026,X0TH0009,B0TH009KX,TH-PARKNI-09,Paring Knife 3.5in,Receipts,FBA15TH77085,915,PHX7,SELLABLE,,US,0,0,7/21/2026 10:14:02 AM
6/15/2026,X0TH0009,B0TH009KX,TH-PARKNI-09,Paring Knife 3.5in,Receipts,FBA15TH77086,915,ONT8,SELLABLE,,US,0,0,6/15/2026 10:14:02 AM
7/13/2026,X0TH0009,B0TH009KX,TH-PARKNI-09,Paring Knife 3.5in,Adjustments,ADJ-77087,-25,MDW2,SELLABLE,M,US,0,25,7/13/2026 1:02:44 PM
7/11/2026,X0TH0009,B0TH009KX,TH-PARKNI-09,Paring Knife 3.5in,Adjustments,ADJ-77088,-9,ONT8,DAMAGED,H,US,9,,7/11/2026 1:02:44 PM
5/20/2026,X0TH0009,B0TH009KX,TH-PARKNI-09,Paring Knife 3.5in,Adjustments,ADJ-77089,-2,MDW2,SELLABLE,N,US,0,2,5/20/2026 1:02:44 PM
3/27/2026,X0TH0010,B0TH010KX,TH-BREKNI-10,Bread Knife 10in,Receipts,FBA15TH77096,420,MDW2,SELLABLE,,US,0,0,3/27/2026 10:14:02 AM
6/1/2026,X0TH0010,B0TH010KX,TH-BREKNI-10,Bread Knife 10in,Receipts,FBA15TH77097,420,MDW2,SELLABLE,,US,0,0,6/1/2026 10:14:02 AM
7/7/2026,X0TH0010,B0TH010KX,TH-BREKNI-10,Bread Knife 10in,Adjustments,ADJ-77098,-7,LAX9,SELLABLE,6,US,7,,7/7/2026 1:02:44 PM
5/27/2026,X0TH0010,B0TH010KX,TH-BREKNI-10,Bread Knife 10in,Adjustments,ADJ-77099,-5,ONT8,SELLABLE,N,US,5,,5/27/2026 1:02:44 PM
7/20/2026,X0TH0010,B0TH010KX,TH-BREKNI-10,Bread Knife 10in,Adjustments,ADJ-77100,-1,PHX7,CUSTOMER_DAMAGED,E,US,1,0,7/20/2026 3:00:00 PM
3/23/2026,X0TH0011,B0TH011KX,TH-KNISHA-11,Knife Sharpener Whetstone,Receipts,FBA15TH77108,570,LAX9,SELLABLE,,US,0,0,3/23/2026 10:14:02 AM
8/7/2026,X0TH0011,B0TH011KX,TH-KNISHA-11,Knife Sharpener Whetstone,Receipts,FBA15TH77109,570,DFW6,SELLABLE,,US,0,0,8/7/2026 10:14:02 AM
7/20/2026,X0TH0011,B0TH011KX,TH-KNISHA-11,Knife Sharpener Whetstone,Adjustments,ADJ-77110,-4,PHX7,SELLABLE,M,US,4,,7/20/2026 1:02:44 PM
8/14/2026,X0TH0011,B0TH011KX,TH-KNISHA-11,Knife Sharpener Whetstone,Adjustments,ADJ-77111,-6,PHX7,DAMAGED,Q,US,6,,8/14/2026 1:02:44 PM
7/7/2026,X0TH0011,B0TH011KX,TH-KNISHA-11,Knife Sharpener Whetstone,Adjustments,ADJ-77112,-4,DFW6,DAMAGED,K,US,4,,7/7/2026 1:02:44 PM
