Date,Campaign Name,Spend,7 Day Total Sales,Clicks,Impressions
"Sep 01, 2025",Skillets - Exact,$77.64,$360.75,80,"2,977"
"Sep 01, 2025",Skillets - Broad,$75.39,$120.23,91,"4,019"
"Sep 01, 2025",Knives - Exact,$100.45,$335.35,102,"5,837"
"Sep 01, 2025",Knives - Broad,$66.38,$158.48,71,"3,176"
"Sep 01, 2025",Boards - Exact,$32.35,$147.53,29,"1,482"
"Sep 01, 2025",Coffee - Exact,$49.52,$312.18,66,"3,196"
"Sep 01, 2025",Coffee - Broad,$50.16,$133.45,83,"3,419"
"Sep 01, 2025",Catalog - Auto,$129.81,$226.44,132,"5,313"
"Sep 02, 2025",Skillets - Exact,$76.90,$330.75,107,"5,633"
"Sep 02, 2025",Skillets - Broad,$50.84,$162.52,55,"3,000"
"Sep 02, 2025",Knives - Exact,$78.41,$215.04,83,"3,821"
"Sep 02, 2025",Knives - Broad,$66.74,$122.77,89,"4,956"
"Sep 02, 2025",Boards - Exact,$45.45,$162.12,42,"1,244"
"Sep 02, 2025",Coffee - Exact,$36.95,$113.62,38,"2,141"
"Sep 02, 2025",Coffee - Broad,$29.37,$80.64,30,"1,076"
"Sep 02, 2025",Catalog - Auto,$96.19,$184.82,89,"4,514"
"Sep 03, 2025",Skillets - Exact,$106.35,$235.35,126,"5,448"
"Sep 03, 2025",Skillets - Broad,$63.35,$158.70,95,"5,360"
"Sep 03, 2025",Knives - Exact,$75.11,$176.56,86,"2,796"
"Sep 03, 2025",Knives - Broad,$45.08,$113.93,42,"1,622"
"Sep 03, 2025",Boards - Exact,$49.02,$130.56,81,"2,579"
"Sep 03, 2025",Coffee - Exact,$44.01,$262.00,74,"2,386"
"Sep 03, 2025",Coffee - Broad,$31.40,$68.35,32,"1,542"
"Sep 03, 2025",Catalog - Auto,$130.82,$212.40,156,"7,926"
"Sep 04, 2025",Skillets - Exact,$95.30,$448.46,118,"3,945"
"Sep 04, 2025",Skillets - Broad,$59.83,$148.24,94,"3,373"
"Sep 04, 2025",Knives - Exact,$92.15,$247.76,99,"5,485"
"Sep 04, 2025",Knives - Broad,$49.18,$125.31,68,"2,375"
"Sep 04, 2025",Boards - Exact,$38.57,$131.82,54,"2,495"
"Sep 04, 2025",Coffee - Exact,$60.96,$241.21,68,"3,232"
"Sep 04, 2025",Coffee - Broad,$31.16,$77.63,33,"1,637"
"Sep 04, 2025",Catalog - Auto,$119.76,$160.44,150,"6,163"
"Sep 05, 2025",Skillets - Exact,$84.54,$409.79,106,"5,488"
"Sep 05, 2025",Skillets - Broad,$64.34,$153.73,79,"3,474"
"Sep 05, 2025",Knives - Exact,$103.55,$379.44,126,"5,660"
"Sep 05, 2025",Knives - Broad,$44.87,$152.42,76,"3,382"
"Sep 05, 2025",Boards - Exact,$28.78,$101.46,35,"1,505"
"Sep 05, 2025",Coffee - Exact,$61.46,$148.73,94,"3,284"
"Sep 05, 2025",Coffee - Broad,$28.01,$71.42,35,"1,842"
"Sep 05, 2025",Catalog - Auto,$96.72,$165.07,112,"3,689"
"Sep 06, 2025",Skillets - Exact,$95.46,$333.02,106,"4,075"
"Sep 06, 2025",Skillets - Broad,$66.32,$140.90,68,"2,406"
"Sep 06, 2025",Knives - Exact,$92.60,$331.60,95,"5,243"
"Sep 06, 2025",Knives - Broad,$38.79,$65.38,54,"1,945"
"Sep 06, 2025",Boards - Exact,$46.18,$152.57,42,"2,507"
"Sep 06, 2025",Coffee - Exact,$55.13,$186.34,53,"3,066"
"Sep 06, 2025",Coffee - Broad,$47.22,$113.97,46,"1,734"
"Sep 06, 2025",Catalog - Auto,$158.21,$339.02,144,"8,207"
"Sep 07, 2025",Skillets - Exact,$121.03,$430.71,166,"7,555"
"Sep 07, 2025",Skillets - Broad,$77.85,$173.63,86,"3,532"
"Sep 07, 2025",Knives - Exact,$111.04,$304.45,151,"4,843"
"Sep 07, 2025",Knives - Broad,$64.66,$99.68,81,"2,859"
"Sep 07, 2025",Boards - Exact,$45.11,$130.17,80,"3,050"
"Sep 07, 2025",Coffee - Exact,$45.08,$183.30,64,"1,925"
"Sep 07, 2025",Coffee - Broad,$41.34,$78.21,73,"4,027"
"Sep 07, 2025",Catalog - Auto,$145.66,$168.10,183,"7,717"
"Sep 08, 2025",Skillets - Exact,$136.28,$573.46,130,"3,686"
"Sep 08, 2025",Skillets - Broad,$67.49,$180.96,79,"2,591"
"Sep 08, 2025",Knives - Exact,$99.45,$306.35,104,"4,907"
"Sep 08, 2025",Knives - Broad,$45.53,$74.56,63,"2,726"
"Sep 08, 2025",Boards - Exact,$57.91,$135.89,100,"3,927"
"Sep 08, 2025",Coffee - Exact,$46.56,$181.72,58,"2,819"
"Sep 08, 2025",Coffee - Broad,$31.30,$80.09,31,"1,574"
"Sep 08, 2025",Catalog - Auto,$163.01,$206.30,184,"6,598"
"Sep 09, 2025",Skillets - Exact,$100.38,$333.24,125,"5,156"
"Sep 09, 2025",Skillets - Broad,$64.39,$119.49,60,"2,067"
"Sep 09, 2025",Knives - Exact,$94.42,$326.20,89,"5,203"
"Sep 09, 2025",Knives - Broad,$55.27,$129.86,51,"2,906"
"Sep 09, 2025",Boards - Exact,$38.79,$169.59,65,"3,588"
"Sep 09, 2025",Coffee - Exact,$62.40,$109.00,80,"3,704"
"Sep 09, 2025",Coffee - Broad,$35.68,$60.21,60,"3,081"
"Sep 09, 2025",Catalog - Auto,$95.58,$225.66,115,"4,369"
"Sep 10, 2025",Skillets - Exact,$94.25,$291.19,125,"4,199"
"Sep 10, 2025",Skillets - Broad,$50.94,$119.79,47,"2,420"
"Sep 10, 2025",Knives - Exact,$66.04,$382.75,87,"4,807"
"Sep 10, 2025",Knives - Broad,$48.35,$97.01,45,"1,631"
"Sep 10, 2025",Boards - Exact,$35.58,$88.94,56,"1,726"
