Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Spend,7 Day Total Sales,7 Day Total Orders (#),7 Day Total Units (#)
Skillets - Exact,Core,cast,EXACT,cast iron skillet 10in,"12,033",334,$267.40,"$1,150.25",31,32
Skillets - Exact,Core,cast,EXACT,cast iron skillet 12in,"13,790",383,$306.43,$846.59,18,19
Skillets - Exact,Core,enamel,EXACT,enamel dutch oven 5qt,"18,014",500,$400.31,"$1,261.96",16,16
Skillets - Exact,Core,carbon,EXACT,carbon steel wok,"8,728",242,$193.97,$652.66,12,12
Skillets - Exact,Core,cast,EXACT,cast iron skillet 10in,"14,581",405,$324.01,"$1,266.14",35,37
Skillets - Exact,Core,cast,EXACT,cast iron skillet 12in,"17,830",495,$396.23,"$1,472.36",31,32
Skillets - Exact,Core,bamboo,BROAD,bamboo board mold,"4,147",98,$69.12,$0.00,0,0
Skillets - Exact,Core,how,BROAD,how to season cast iron,"9,405",223,$156.76,$0.00,0,0
Skillets - Broad,Core,cast,BROAD,cast iron skillet 10in,"5,813",161,$129.19,$503.35,13,13
Skillets - Broad,Core,cast,BROAD,cast iron skillet 12in,"9,857",273,$219.04,$963.65,20,21
Skillets - Broad,Core,enamel,BROAD,enamel dutch oven 5qt,"5,556",154,$123.46,$341.75,4,4
Skillets - Broad,Core,carbon,BROAD,carbon steel wok,"12,431",345,$276.25,"$1,050.37",20,21
Skillets - Broad,Core,cast,BROAD,cast iron skillet 10in,"8,710",241,$193.56,$831.04,23,24
Skillets - Broad,Core,cast,BROAD,cast iron skillet 12in,"12,373",343,$274.96,$807.41,17,18
Skillets - Broad,Core,how,BROAD,how to season cast iron,"2,793",66,$46.55,$0.00,0,0
Skillets - Broad,Core,walmart,BROAD,walmart cutting board,"7,563",180,$126.06,$0.00,0,0
Knives - Exact,Core,chef,EXACT,chef knife 8in,"7,641",212,$169.80,$500.13,8,8
Knives - Exact,Core,paring,EXACT,paring knife 3.5in,"6,959",193,$154.64,$688.21,37,39
Knives - Exact,Core,bread,EXACT,bread knife 10in,"15,826",439,$351.70,"$1,066.19",36,38
Knives - Exact,Core,knife,EXACT,knife sharpener whetstone,"9,247",256,$205.49,$612.58,24,25
Knives - Exact,Core,chef,EXACT,chef knife 8in,"7,541",209,$167.57,$738.13,12,12
Knives - Exact,Core,paring,EXACT,paring knife 3.5in,"6,601",183,$146.68,$720.16,39,41
Knives - Exact,Core,skillet,BROAD,skillet lodge,"6,191",147,$103.18,$0.00,0,0
Knives - Exact,Core,cheap,BROAD,cheap knives set,"9,276",220,$154.61,$0.00,0,0
Knives - Broad,Core,chef,BROAD,chef knife 8in,"9,413",261,$209.18,$879.04,15,15
Knives - Broad,Core,paring,BROAD,paring knife 3.5in,"4,034",112,$89.63,$214.36,11,11
Knives - Broad,Core,bread,BROAD,bread knife 10in,"9,033",250,$200.74,$653.21,22,23
Knives - Broad,Core,knife,BROAD,knife sharpener whetstone,"8,219",228,$182.65,$779.88,31,32
Knives - Broad,Core,chef,BROAD,chef knife 8in,"6,624",183,$147.19,$382.92,6,6
Knives - Broad,Core,paring,BROAD,paring knife 3.5in,"6,394",177,$142.08,$659.12,35,37
Knives - Broad,Core,cheap,BROAD,cheap knives set,"1,999",47,$33.31,$0.00,0,0
Knives - Broad,Core,cast,BROAD,cast iron recipe ideas,"5,871",139,$97.86,$0.00,0,0
Boards - Exact,Core,bamboo,EXACT,bamboo cutting board l,"6,743",187,$149.84,$556.56,20,21
Boards - Exact,Core,bamboo,EXACT,bamboo cutting board m,"7,524",209,$167.21,$560.35,28,29
Boards - Exact,Core,walnut,EXACT,walnut serving tray,"8,346",231,$185.46,$853.33,22,23
Boards - Exact,Core,bamboo,EXACT,bamboo cutting board l,"4,636",128,$103.02,$333.69,12,12
Boards - Exact,Core,bamboo,EXACT,bamboo cutting board m,"4,611",128,$102.46,$414.58,21,22
Boards - Exact,Core,walnut,EXACT,walnut serving tray,"6,525",181,$145.00,$531.14,14,14
Boards - Exact,Core,cheap,BROAD,cheap knives set,"4,155",98,$69.25,$0.00,0,0
Boards - Exact,Core,walmart,BROAD,walmart cutting board,"3,714",88,$61.90,$0.00,0,0
Coffee - Exact,Core,french,EXACT,french press 34oz,"6,642",184,$147.60,$342.12,11,11
Coffee - Exact,Core,pour,EXACT,pour over kettle gooseneck,"7,470",207,$165.99,$663.84,14,14
Coffee - Exact,Core,coffee,EXACT,coffee canister airtight,"4,306",119,$95.68,$423.74,18,19
Coffee - Exact,Core,tea,EXACT,tea infuser mug,"6,338",176,$140.84,$437.69,23,24
Coffee - Exact,Core,french,EXACT,french press 34oz,"8,458",234,$187.96,$594.23,19,20
Coffee - Exact,Core,pour,EXACT,pour over kettle gooseneck,"7,258",201,$161.28,$633.87,14,14
Coffee - Exact,Core,cast,BROAD,cast iron recipe ideas,"3,258",77,$54.31,$0.00,0,0
Coffee - Exact,Core,bamboo,BROAD,bamboo board mold,"2,466",58,$41.10,$0.00,0,0
Coffee - Broad,Core,french,BROAD,french press 34oz,"3,562",98,$79.16,$319.31,10,10
Coffee - Broad,Core,pour,BROAD,pour over kettle gooseneck,"2,724",75,$60.53,$297.41,6,6
Coffee - Broad,Core,coffee,BROAD,coffee canister airtight,"4,434",123,$98.54,$299.24,13,13
Coffee - Broad,Core,tea,BROAD,tea infuser mug,"6,771",188,$150.48,$536.10,28,29
Coffee - Broad,Core,french,BROAD,french press 34oz,"5,410",150,$120.22,$498.71,16,16
Coffee - Broad,Core,pour,BROAD,pour over kettle gooseneck,"6,555",182,$145.67,$373.39,8,8
Coffee - Broad,Core,free,BROAD,free skillet giveaway,"1,214",28,$20.24,$0.00,0,0
Coffee - Broad,Core,skillet,BROAD,skillet lodge,"3,291",78,$54.86,$0.00,0,0
Catalog - Auto,Core,cast,BROAD,cast iron skillet 10in,"19,292",535,$428.72,"$1,606.46",44,46
