MSKU,ASIN,Units Sold,Average Sales Price,Sales,Referral Fee,FBA Fulfillment Fee,Storage Fee,Net Proceeds
TH-CASIRO-01,B0TH001KX,659,$32.19,"$21,213.21",-3181.98,-4678.90,-189.67,"$13,162.66"
TH-CASIRO-02,B0TH002KX,402,$44.99,"$18,085.98",-2712.90,-2854.20,-155.21,"$12,363.67"
TH-ENADUT-03,B0TH003KX,243,$76.79,"$18,659.97",-2799.00,-1725.30,-156.94,"$13,978.73"
TH-CARSTE-04,B0TH004KX,235,$51.99,"$12,217.65",-1832.65,-1668.50,-102.28,"$8,614.22"
TH-BAMCUT-05,B0TH005KX,539,$25.75,"$13,879.25",-2081.89,-2344.65,-105.95,"$9,346.76"
TH-BAMCUT-06,B0TH006KX,633,$21.19,"$13,413.27",-2011.99,-2753.55,-79.99,"$8,567.74"
TH-WALSER-07,B0TH007KX,220,$37.82,"$8,320.40",-1248.06,-957.00,-46.33,"$6,069.01"
TH-CHEKNI-08,B0TH008KX,432,$62.99,"$27,211.68",-4081.75,-1879.20,-27.29,"$21,223.44"
TH-PARKNI-09,B0TH009KX,556,$18.42,"$10,241.52",-1536.23,-2418.60,-15.61,"$6,271.08"
TH-BREKNI-10,B0TH010KX,233,$28.79,"$6,708.07",-1006.21,-1013.55,-11.45,"$4,676.86"
TH-KNISHA-11,B0TH011KX,254,$24.99,"$6,347.46",-952.12,-1104.90,-10.70,"$4,279.74"
TH-STAMIX-12,B0TH012KX,266,$39.95,"$10,626.70",-1594.00,-1888.60,-130.71,"$7,013.39"
TH-SILSPA-13,B0TH013KX,800,$15.89,"$12,712.00",-1906.80,-3480.00,-28.08,"$7,297.12"
TH-MEACUP-14,B0TH014KX,362,$23.31,"$8,438.22",-1265.73,-1574.70,-20.33,"$5,577.46"
TH-SALCEL-15,B0TH015KX,338,$17.50,"$5,915.00",-887.25,-1470.30,-11.86,"$3,545.59"
TH-PEPMIL-16,B0TH016KX,262,$34.64,"$9,075.68",-1361.35,-1139.70,-11.04,"$6,563.59"
TH-FREPRE-17,B0TH017KX,316,$31.19,"$9,856.04",-1478.41,-1374.60,-48.80,"$6,954.23"
TH-POUOVE-18,B0TH018KX,230,$41.27,"$9,492.10",-1423.82,-1000.50,-38.75,"$7,029.03"
TH-COFCAN-19,B0TH019KX,304,$24.37,"$7,408.48",-1111.27,-1322.40,-21.34,"$4,953.47"
TH-TEAINF-20,B0TH020KX,336,$17.27,"$5,802.72",-870.41,-1461.60,-18.87,"$3,451.84"
TH-APRWAX-21,B0TH021KX,187,$41.59,"$7,777.33",-1166.60,-813.45,-9.19,"$5,788.09"
TH-OVEMIT-22,B0TH022KX,430,$18.99,"$8,165.70",-1224.86,-1870.50,-18.11,"$5,052.23"
TH-TRICOR-23,B0TH023KX,554,$12.47,"$6,908.38",-1036.26,-2409.90,-15.56,"$3,446.66"
TH-KITTOW-24,B0TH024KX,300,$25.99,"$7,797.00",-1169.55,-1305.00,-10.53,"$5,311.92"
