"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdback, per-item fees and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
date/time,settlement id,type,order id,sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Jul 13, 2026 10:00:00 AM PDT",,Refund,111-4000080-4517037,TH-CASIRO-01,Cast Iron Skillet 10in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-36.04,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,-31.72
"Jul 2, 2026 3:00:00 PM PDT",,Refund,111-4000172-1485759,TH-CASIRO-01,Cast Iron Skillet 10in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-36.04,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,-31.72
"May 22, 2026 10:00:00 PM PDT",,Refund,111-4000215-7071290,TH-CASIRO-01,Cast Iron Skillet 10in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-36.04,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,-31.72
"May 28, 2026 5:00:00 AM PDT",,Refund,111-4000290-1596218,TH-CASIRO-01,Cast Iron Skillet 10in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-36.04,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,-31.72
"Jun 29, 2026 2:00:00 PM PDT",,Refund,111-4000339-4867996,TH-CASIRO-01,Cast Iron Skillet 10in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-36.04,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,-31.72
"May 25, 2026 7:00:00 AM PDT",,Refund,111-4000397-3921245,TH-CASIRO-01,Cast Iron Skillet 10in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-36.04,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,-31.72
"May 27, 2026 7:00:00 AM PDT",,Refund,111-4000484-5296207,TH-CASIRO-01,Cast Iron Skillet 10in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-36.04,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,-31.72
"Jun 24, 2026 1:00:00 PM PDT",,Refund,111-4000554-9214500,TH-CASIRO-01,Cast Iron Skillet 10in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-36.04,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,-31.72
"May 17, 2026 5:00:00 PM PDT",,Order,111-4000631-5043864,TH-CASIRO-01,Cast Iron Skillet 10in,1,amazon.com,Standard Orders,Amazon,SEATTLE,WA,98101,MarketplaceFacilitator,36.04,0,0,0,0,0,0,0,0,0,0,-5.41,-7.10,0,0,23.53
"Jul 22, 2026 12:00:00 PM PDT",,Order,111-4000702-5666141,TH-CASIRO-01,Cast Iron Skillet 10in,1,amazon.com,Standard Orders,Amazon,SEATTLE,WA,98101,MarketplaceFacilitator,36.04,0,0,0,0,0,0,0,0,0,0,-5.41,-7.10,0,0,23.53
"Aug 7, 2026 1:00:00 AM PDT",,Order,111-4000718-4835991,TH-CASIRO-01,Cast Iron Skillet 10in,1,amazon.com,Standard Orders,Amazon,SEATTLE,WA,98101,MarketplaceFacilitator,36.04,0,0,0,0,0,0,0,0,0,0,-5.41,-7.10,0,0,23.53
"Jul 22, 2026 7:00:00 PM PDT",,Refund,111-4000777-9624660,TH-CASIRO-02,Cast Iron Skillet 12in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-46.34,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,-40.78
"Jul 31, 2026 8:00:00 PM PDT",,Refund,111-4000797-3657211,TH-CASIRO-02,Cast Iron Skillet 12in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-46.34,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,-40.78
"Jun 1, 2026 12:00:00 PM PDT",,Refund,111-4000847-9493234,TH-CASIRO-02,Cast Iron Skillet 12in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-46.34,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,-40.78
"Aug 10, 2026 4:00:00 PM PDT",,Refund,111-4000869-8265324,TH-CASIRO-02,Cast Iron Skillet 12in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-46.34,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,-40.78
"Jul 12, 2026 10:00:00 AM PDT",,Refund,111-4000891-9985475,TH-CASIRO-02,Cast Iron Skillet 12in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-46.34,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,-40.78
"Jul 23, 2026 7:00:00 PM PDT",,Refund,111-4000903-6020280,TH-CASIRO-02,Cast Iron Skillet 12in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-46.34,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,-40.78
"Jun 29, 2026 1:00:00 PM PDT",,Refund,111-4000980-5092017,TH-CASIRO-02,Cast Iron Skillet 12in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-46.34,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,-40.78
"May 24, 2026 7:00:00 AM PDT",,Refund,111-4001074-3177903,TH-CASIRO-02,Cast Iron Skillet 12in,1,amazon.com,Standard Orders,Amazon,,,,MarketplaceFacilitator,-46.34,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,-40.78
